scene,view,none,inpaint_pred,inpaint_err,none_mask,inpaint_pred_mask,inpaint_err_mask
106,8,33.22593002991291,32.970339671235365,34.069671038084856,32.92922964396722,31.725127765046537,33.7619228007207
106,9,31.979607478099545,32.00734836887461,33.043476259571236,31.669111313492646,30.833561484564388,32.711842082633574
106,10,30.91996147813463,31.06513800612717,32.24447995666486,30.948054189272916,30.402926614378064,32.08858410100586
106,11,29.824813258309636,30.164137999286655,31.397942383625328,29.99208852693805,29.580535029836426,31.43735242381293
106,12,29.01125172927632,29.382825929572206,30.551787143347244,29.214934973668,28.998921411800538,30.647300263257605
106,13,27.864420472106307,28.662850291721334,29.851819996800817,27.864420472106307,28.662850291721334,29.851819996800817
107,0,26.21800394575822,26.61175081982789,27.23920237994731,28.582229208655896,28.472781766851753,29.17342166900115
107,1,27.026742338327857,27.212286965988028,27.979691308459735,28.794148335099834,28.677934563584326,29.370126185356607
107,2,28.058851293691966,27.812303751560773,28.869767356817356,29.65995086794956,29.428901881706647,30.132116940181326
107,3,29.11207842658799,28.585693702674142,29.723038528262066,30.169061381016157,29.890202583855423,30.789544487399844
107,4,30.409993052436523,29.91041024988862,30.908793464925253,31.33180706964451,31.06847678417269,31.71535173804424
107,5,31.954887870980777,30.965609943995865,32.25230789216085,32.50406948898838,32.290041268289954,32.857070010505396
107,6,34.06874229243275,32.88871405175055,34.15089928435344,34.155894406546544,34.02225931854579,34.25820448787893
107,7,34.13566428659384,33.37834674524398,34.19208252496038,33.263121406256715,32.780611395097026,33.39541641949428
107,8,32.129549477908384,31.528661759116353,32.293629075140345,31.947185377482455,31.177677856505795,32.30035675250692
107,9,30.326722817195165,29.581104273368076,30.322685046560803,30.75796050113183,29.51676553631621,31.11741466652638
107,10,28.83684822744548,28.232785948351804,28.646651881521436,29.71547971233232,28.417454080350804,30.10304227845588
107,11,27.778409011733622,27.048341955064007,27.772613614286104,28.7545223614867,27.370038916981873,29.291774061183432
107,12,26.950895113081078,26.075499006967092,27.14493324844041,28.138096999936998,27.26672184909689,28.59613417080101
107,13,26.156969494291992,25.26864437642001,26.293530379005933,26.156969494291992,25.26864437642001,26.293530379005933
108,0,26.055605469301177,27.440763754871544,30.52596868158399,23.34533912831596,21.09297530887574,25.044307436750906
108,1,27.8713415036368,28.426694533335137,31.590780087635526,24.032815506257855,20.993700465621888,25.69464450979674
108,2,29.278985820482802,28.99170280591244,32.22727355373039,24.808954809342683,21.406091590102537,26.25076526029146
108,3,29.792133489252734,28.883904652866633,33.001800083885236,25.63707428378394,21.094748299680784,26.97008954995516
108,4,31.638620274899,30.12367490105249,33.99243730326753,26.746522826079158,21.50637123657048,27.929837921807824
108,5,33.739327503846766,30.488376631190718,34.890375064835936,28.055429605919787,21.548776502750012,28.959364752402355
108,6,35.68075274961123,31.29466887648228,36.395895515139955,29.668206495180776,22.07498355296704,30.438699862655795
108,7,36.26866739578536,34.52970298203593,36.650652722316,31.236408143820455,27.56151302742424,31.814376507403132
108,8,34.29317967362441,32.86594317870324,34.999884210382405,29.363617941612272,26.06035907474191,30.153432908298218
108,9,32.94739155925627,31.77004210051443,33.87606998783923,28.093941855476317,24.954091590052073,29.032856820780687
108,10,31.358226935122243,30.70421630242581,32.872757161937194,26.923705185702126,24.736146239384755,28.22138621326218
108,11,30.27678982165178,30.06650450007814,32.07202641170181,25.908428245569972,24.186739897130604,27.243513540825546
108,12,29.60893421495724,29.427548738417748,31.59705392192979,25.034312163072254,23.43218620218493,26.61171976902873
108,13,28.172761420619977,29.156537110580206,30.22982412129492,28.172761420619977,29.156537110580206,30.22982412129492
109,0,21.77733568705619,21.71185538510433,22.654100235044226,27.07909766500212,26.301521660714954,27.69935011516939
109,1,22.413980217946303,22.40773530443114,23.352067890091437,27.827623326841998,26.997441176327474,28.43861476645081
109,2,22.999282976497305,22.664194269099283,23.726334597954025,28.465174160991253,27.404511224370445,28.961526469075523
109,3,24.17902546377347,23.870471852094557,24.75939964592868,29.03083120793124,27.767038178936744,29.460621110572053
109,4,25.051043178721734,24.854252235759073,25.441151215463137,28.557779513854754,27.529015691798847,28.695601351848865
109,5,27.81394678731866,27.429678711839827,28.15257019912997,31.563696751470186,29.21815922440928,31.894524856332133
109,6,30.785760167953274,29.90792573327817,30.945625954213018,33.10791702528938,30.606964356881925,33.238391442462905
109,7,30.99401794525328,29.66101083913342,31.177867831467246,33.537448961228776,30.61492024939973,33.80630999016105
109,8,28.282167906684506,27.55944390949784,28.60839649342229,32.16096273703079,30.2776049191762,32.4620899770411
109,9,26.004683052651437,25.694661394843166,26.483626163710113,30.888506229171515,29.52768441448796,31.25060966856623
109,10,24.40963693971274,24.293298218772797,25.107304463084795,29.4225989320787,28.508679849317062,30.068248826120097
109,11,23.32455723570552,23.260609499906334,24.06123825904615,27.895649851055616,27.293030828220864,28.7892221836699
109,12,22.51072297372471,22.47138495367622,23.247394768503028,26.781079336248048,26.315841130498843,27.746901499291994
109,13,21.81536574035072,21.771697867205294,22.541807843618887,21.81536574035072,21.771697867205294,22.541807843618887
110,0,23.778428131334955,23.51399430382245,25.561421320220052,23.91882043940736,22.476178191433775,24.8618650934836
110,1,24.321072573254625,23.23764120354504,25.88930069027834,24.418501843177335,22.520280354868667,25.221541684080073
110,2,24.983616412359993,23.261380805472566,26.34984564049121,24.98135748066175,22.63488884377785,25.61406422603539
110,3,25.818413502151977,23.542408680863613,26.935793554292573,25.567611080905884,23.279790040988658,26.196839256246783
110,4,26.76844231507677,23.66533740143027,27.536378862054477,26.47174019102831,23.875425019182785,26.980375233237844
110,5,28.01261024116036,23.795974760113694,28.374086424002776,27.39396128258726,23.916016323222195,27.782941721281183
110,6,29.667672085855813,23.74521911321223,29.728414809686996,28.517487723850365,24.80742324870546,28.76455354279054
110,7,26.63351820749174,21.628034936461248,26.787449062543004,28.363115447119746,25.12324639622677,28.298981608453097
110,8,24.826165812618438,20.253535797700913,25.3279248248366,27.070776812595977,24.16216928815637,26.83655062754682
110,9,23.087798374284493,19.717284783859835,23.723382224945837,25.97812886765908,23.04856826283209,26.080677150742066
110,10,21.43082823187326,19.25964765066601,22.146655982616352,24.911340607259053,21.779896377555005,25.069755283340417
110,11,20.324402179456023,19.044245414916908,20.984253442128992,24.208216573197937,22.041014357556584,24.48755453847768
